team,bucket,opportunities,total_sec,goals_against,sh_goals,shots_against,total_min,goals_against_per_60,sh_goals_per_60,shots_against_per_60,type
ANA,Leading,1,120,0,0,0,2.0,0.0,0.0,0.0,PK
ANA,Neutral,11,1243,2,0,4,20.716666666666665,5.7924376508447315,0.0,11.584875301689463,PK
ANA,Protecting,1,120,0,0,0,2.0,0.0,0.0,0.0,PK
ANA,Trailing,6,633,2,0,0,10.55,11.374407582938387,0.0,0.0,PK
BOS,Chasing,6,501,3,0,0,8.35,21.55688622754491,0.0,0.0,PK
BOS,Leading,8,960,0,1,3,16.0,0.0,3.75,11.25,PK
BOS,Neutral,12,1136,4,0,3,18.933333333333334,12.676056338028168,0.0,9.507042253521128,PK
BOS,Protecting,7,721,1,1,1,12.016666666666667,4.993065187239944,4.993065187239944,4.993065187239944,PK
BOS,Trailing,4,325,2,0,1,5.416666666666667,22.153846153846153,0.0,11.076923076923077,PK
BUF,Chasing,5,382,3,0,1,6.366666666666666,28.272251308900525,0.0,9.424083769633508,PK
BUF,Leading,3,360,0,0,0,6.0,0.0,0.0,0.0,PK
BUF,Neutral,18,2292,4,1,13,38.2,6.282722513089005,1.5706806282722512,20.418848167539267,PK
BUF,Protecting,3,241,1,0,0,4.016666666666667,14.937759336099585,0.0,0.0,PK
BUF,Trailing,4,321,2,0,4,5.35,22.429906542056077,0.0,44.859813084112155,PK
CAR,Chasing,5,503,2,0,2,8.383333333333333,14.314115308151095,0.0,14.314115308151095,PK
CAR,Leading,4,480,0,0,0,8.0,0.0,0.0,0.0,PK
CAR,Neutral,7,726,1,0,1,12.1,4.958677685950414,0.0,4.958677685950414,PK
CAR,Protecting,1,120,0,0,2,2.0,0.0,0.0,60.0,PK
CAR,Trailing,5,492,1,0,3,8.2,7.317073170731708,0.0,21.951219512195124,PK
CBJ,Chasing,9,1036,1,0,7,17.266666666666666,3.474903474903475,0.0,24.324324324324326,PK
CBJ,Leading,3,148,3,0,1,2.466666666666667,72.97297297297297,0.0,24.324324324324323,PK
CBJ,Neutral,7,840,0,1,3,14.0,0.0,4.285714285714286,12.857142857142856,PK
CBJ,Trailing,2,131,1,0,0,2.183333333333333,27.480916030534353,0.0,0.0,PK
CGY,Chasing,3,262,1,0,0,4.366666666666666,13.740458015267176,0.0,0.0,PK
CGY,Leading,1,29,1,0,0,0.48333333333333334,124.13793103448276,0.0,0.0,PK
CGY,Neutral,7,837,3,0,1,13.95,12.903225806451614,0.0,4.301075268817205,PK
CGY,Protecting,3,540,0,1,3,9.0,0.0,6.666666666666666,20.0,PK
CGY,Trailing,7,1037,2,2,5,17.283333333333335,6.943105110896817,6.943105110896817,17.357762777242044,PK
CHI,Chasing,3,285,1,0,0,4.75,12.631578947368421,0.0,0.0,PK
CHI,Leading,6,563,2,0,0,9.383333333333333,12.788632326820604,0.0,0.0,PK
CHI,Neutral,6,696,1,1,2,11.6,5.172413793103448,5.172413793103448,10.344827586206897,PK
CHI,Protecting,6,555,3,0,3,9.25,19.45945945945946,0.0,19.45945945945946,PK
CHI,Trailing,2,240,0,0,0,4.0,0.0,0.0,0.0,PK
COL,Chasing,3,151,3,0,0,2.5166666666666666,71.52317880794702,0.0,0.0,PK
COL,Leading,6,469,4,0,2,7.816666666666666,30.70362473347548,0.0,15.35181236673774,PK
COL,Neutral,4,389,1,0,0,6.483333333333333,9.254498714652955,0.0,0.0,PK
COL,Protecting,5,661,1,1,4,11.016666666666667,5.446293494704992,5.446293494704992,21.78517397881997,PK
COL,Trailing,7,1020,0,0,0,17.0,0.0,0.0,0.0,PK
DAL,Chasing,7,755,1,0,1,12.583333333333334,4.768211920529801,0.0,4.768211920529801,PK
DAL,Leading,2,240,0,0,0,4.0,0.0,0.0,0.0,PK
DAL,Neutral,12,1440,0,1,3,24.0,0.0,2.5,7.5,PK
DAL,Trailing,2,240,0,0,0,4.0,0.0,0.0,0.0,PK
DET,Leading,4,298,2,0,0,4.966666666666667,24.161073825503355,0.0,0.0,PK
DET,Neutral,4,368,1,0,3,6.133333333333334,9.782608695652174,0.0,29.34782608695652,PK
DET,Protecting,6,584,2,0,2,9.733333333333333,12.328767123287673,0.0,12.328767123287673,PK
DET,Trailing,8,936,1,0,1,15.6,3.8461538461538467,0.0,3.8461538461538467,PK
EDM,Leading,6,1124,2,1,5,18.733333333333334,6.405693950177936,3.202846975088968,16.01423487544484,PK
EDM,Neutral,8,721,3,0,0,12.016666666666667,14.979195561719832,0.0,0.0,PK
EDM,Protecting,6,332,4,0,2,5.533333333333333,43.373493975903614,0.0,21.686746987951807,PK
EDM,Trailing,2,325,1,0,0,5.416666666666667,11.076923076923077,0.0,0.0,PK
FLA,Chasing,4,432,1,2,1,7.2,8.333333333333334,16.666666666666668,8.333333333333334,PK
FLA,Leading,4,541,1,1,1,9.016666666666667,6.6543438077634,6.6543438077634,6.6543438077634,PK
FLA,Neutral,8,1158,2,4,7,19.3,6.217616580310881,12.435233160621761,21.761658031088082,PK
FLA,Protecting,5,583,1,0,2,9.716666666666667,6.174957118353345,0.0,12.34991423670669,PK
FLA,Trailing,9,1080,0,1,2,18.0,0.0,3.333333333333333,6.666666666666666,PK
LAK,Chasing,4,279,2,1,0,4.65,25.806451612903224,12.903225806451612,0.0,PK
LAK,Leading,2,240,0,0,1,4.0,0.0,0.0,15.0,PK
LAK,Neutral,15,1769,3,2,12,29.483333333333334,6.105144149236857,4.070096099491238,24.420576596947427,PK
LAK,Protecting,3,267,2,0,0,4.45,26.96629213483146,0.0,0.0,PK
