team,bucket,opportunities,total_sec,goals,shots_on_goal,missed_shots,blocked_shots,total_min,goals_per_60,shots_per_60,shot_attempts_per_60,shooting_pct,type
ANA,Leading,5,600,0,5,4,7,10.0,0.0,30.0,96.0,0.0,PP
ANA,Neutral,10,1200,0,10,1,12,20.0,0.0,30.0,69.0,0.0,PP
ANA,Trailing,5,600,0,4,7,6,10.0,0.0,24.0,102.0,0.0,PP
BOS,Chasing,4,432,1,4,3,2,7.2,8.333333333333334,33.333333333333336,75.0,25.0,PP
BOS,Leading,6,697,1,9,5,3,11.616666666666667,5.164992826398851,46.48493543758966,87.80487804878048,11.11111111111111,PP
BOS,Neutral,11,1589,1,10,9,13,26.483333333333334,2.265575833857772,22.65575833857772,72.4984266834487,10.0,PP
BOS,Protecting,3,540,0,4,3,2,9.0,0.0,26.666666666666664,60.0,0.0,PP
BOS,Trailing,9,888,2,11,1,1,14.8,8.108108108108107,44.59459459459459,52.702702702702695,18.181818181818183,PP
BUF,Chasing,4,480,0,8,5,4,8.0,0.0,60.0,127.5,0.0,PP
BUF,Leading,5,600,0,11,6,5,10.0,0.0,66.0,132.0,0.0,PP
BUF,Neutral,12,1681,0,18,15,12,28.016666666666666,0.0,38.54848304580607,96.37120761451517,0.0,PP
BUF,Protecting,5,600,0,2,2,1,10.0,0.0,12.0,30.0,0.0,PP
BUF,Trailing,3,360,0,2,2,4,6.0,0.0,20.0,80.0,0.0,PP
CAR,Chasing,2,150,1,2,1,0,2.5,24.0,48.0,72.0,50.0,PP
CAR,Leading,4,429,1,7,3,6,7.15,8.39160839160839,58.74125874125874,134.26573426573424,14.285714285714285,PP
CAR,Neutral,5,519,1,3,5,3,8.65,6.936416184971098,20.809248554913296,76.30057803468208,33.33333333333333,PP
CAR,Trailing,3,360,0,1,0,1,6.0,0.0,10.0,20.0,0.0,PP
CBJ,Chasing,1,16,1,0,0,0,0.26666666666666666,225.0,0.0,0.0,,PP
CBJ,Leading,2,147,1,3,0,0,2.45,24.489795918367346,73.46938775510203,73.46938775510203,33.33333333333333,PP
CBJ,Neutral,6,646,1,7,7,2,10.766666666666667,5.572755417956656,39.00928792569659,89.1640866873065,14.285714285714285,PP
CBJ,Protecting,9,961,1,8,2,5,16.016666666666666,3.746097814776275,29.9687825182102,56.191467221644125,12.5,PP
CBJ,Trailing,3,480,0,11,2,10,8.0,0.0,82.5,172.5,0.0,PP
CGY,Chasing,2,420,0,4,1,0,7.0,0.0,34.285714285714285,42.85714285714286,0.0,PP
CGY,Leading,9,720,7,2,6,6,12.0,35.0,10.0,70.0,350.0,PP
CGY,Neutral,9,1016,2,10,3,7,16.933333333333334,7.086614173228346,35.433070866141726,70.86614173228345,20.0,PP
CGY,Protecting,1,120,0,0,0,0,2.0,0.0,0.0,0.0,,PP
CGY,Trailing,2,178,1,0,1,1,2.966666666666667,20.224719101123593,0.0,40.44943820224719,,PP
CHI,Chasing,10,1284,2,12,9,6,21.4,5.607476635514019,33.64485981308412,75.70093457943925,16.666666666666664,PP
CHI,Leading,1,49,1,0,0,1,0.8166666666666667,73.46938775510205,0.0,73.46938775510205,,PP
CHI,Neutral,4,386,2,3,4,5,6.433333333333334,18.65284974093264,27.979274611398964,111.91709844559585,66.66666666666666,PP
CHI,Protecting,7,569,3,17,5,1,9.483333333333333,18.980667838312833,107.55711775043937,145.51845342706505,17.647058823529413,PP
CHI,Trailing,3,360,0,3,0,0,6.0,0.0,30.0,30.0,0.0,PP
COL,Chasing,11,1019,5,2,4,6,16.983333333333334,17.664376840039253,7.065750736015701,42.39450441609421,250.0,PP
COL,Leading,6,808,1,8,5,3,13.466666666666667,4.455445544554455,35.64356435643564,71.28712871287128,12.5,PP
COL,Neutral,2,143,1,1,0,0,2.3833333333333333,25.174825174825173,25.174825174825173,25.174825174825173,100.0,PP
COL,Protecting,2,240,0,1,3,1,4.0,0.0,15.0,75.0,0.0,PP
COL,Trailing,8,663,4,8,3,6,11.05,21.71945701357466,43.43891402714932,92.30769230769229,50.0,PP
DAL,Leading,2,189,1,0,1,3,3.15,19.047619047619047,0.0,76.19047619047619,,PP
DAL,Neutral,13,1563,1,12,12,9,26.05,2.3032629558541267,27.639155470249516,76.00767754318618,8.333333333333332,PP
DAL,Protecting,3,360,0,4,5,3,6.0,0.0,40.0,120.0,0.0,PP
DAL,Trailing,3,360,0,4,1,5,6.0,0.0,40.0,100.0,0.0,PP
DET,Chasing,9,1004,3,10,8,3,16.733333333333334,10.756972111553784,35.85657370517928,75.2988047808765,30.0,PP
DET,Leading,6,720,0,9,2,9,12.0,0.0,45.0,100.0,0.0,PP
DET,Neutral,8,919,1,16,11,2,15.316666666666666,3.9173014145810665,62.676822633297064,113.60174102285093,6.25,PP
EDM,Chasing,5,525,1,3,6,8,8.75,6.857142857142857,20.571428571428573,116.57142857142857,33.33333333333333,PP
EDM,Leading,1,120,0,0,1,0,2.0,0.0,0.0,30.0,,PP
EDM,Neutral,6,720,0,9,3,10,12.0,0.0,45.0,110.0,0.0,PP
EDM,Trailing,6,982,1,4,1,6,16.366666666666667,3.6659877800407332,14.663951120162933,40.32586558044807,25.0,PP
FLA,Chasing,3,267,1,5,1,4,4.45,13.48314606741573,67.41573033707864,134.83146067415728,20.0,PP
FLA,Leading,7,840,0,4,0,3,14.0,0.0,17.142857142857142,30.0,0.0,PP
FLA,Neutral,8,666,3,7,5,5,11.1,16.216216216216218,37.83783783783784,91.8918918918919,42.857142857142854,PP
FLA,Protecting,7,721,1,6,4,8,12.016666666666667,4.993065187239944,29.958391123439664,89.875173370319,16.666666666666664,PP
FLA,Trailing,5,613,3,7,1,2,10.216666666666667,17.61827079934747,41.109298531810765,58.727569331158236,42.857142857142854,PP
LAK,Chasing,3,360,0,4,3,1,6.0,0.0,40.0,80.0,0.0,PP
LAK,Leading,7,673,1,5,3,3,11.216666666666667,5.3491827637444285,26.745913818722137,58.841010401188704,20.0,PP
LAK,Neutral,17,1965,5,21,11,15,32.75,9.160305343511451,38.473282442748086,86.10687022900763,23.809523809523807,PP
LAK,Protecting,2,121,1,0,0,0,2.0166666666666666,29.75206611570248,0.0,0.0,,PP
MIN,Leading,6,468,4,9,4,3,7.8,30.769230769230774,69.23076923076924,123.0769230769231,44.44444444444444,PP
MIN,Neutral,6,619,1,7,7,2,10.316666666666666,5.815831987075929,40.710823909531506,93.05331179321486,14.285714285714285,PP
MIN,Protecting,5,697,2,3,3,7,11.616666666666667,10.329985652797703,15.494978479196556,67.14490674318509,66.66666666666666,PP
MTL,Chasing,11,1298,2,6,7,4,21.633333333333333,5.546995377503852,16.640986132511557,47.14946070878275,33.33333333333333,PP
MTL,Leading,5,600,0,5,2,4,10.0,0.0,30.0,66.0,0.0,PP
MTL,Neutral,7,748,3,8,2,3,12.466666666666667,14.43850267379679,38.50267379679144,62.56684491978609,37.5,PP
MTL,Protecting,4,361,0,8,0,1,6.016666666666667,0.0,79.77839335180055,89.75069252077562,0.0,PP
MTL,Trailing,5,531,1,2,1,1,8.85,6.779661016949152,13.559322033898304,27.11864406779661,50.0,PP
NJD,Chasing,12,1287,6,12,4,14,21.45,16.783216783216783,33.56643356643357,83.9160839160839,50.0,PP
