game_id,pp_team,pk_team,bucket,goal_diff_at_pen,pp_duration_sec,pp_goals,pp_shots_on_goal,pp_missed_shots,pp_blocked_shots,pk_goals_against,pk_shots_against
2024020001,BUF,NJD,Neutral,0,120,0,0,0,0,0,1
2024020001,NJD,BUF,Leading,1,120,0,1,0,5,0,0
2024020001,NJD,BUF,Protecting,2,120,0,1,1,1,0,0
2024020001,BUF,NJD,Chasing,-3,120,0,3,2,0,0,0
2024020001,BUF,NJD,Chasing,-3,120,0,1,2,1,0,0
2024020001,BUF,NJD,Chasing,-3,120,0,1,1,2,0,0
2024020002,BUF,NJD,Neutral,0,120,0,0,2,2,0,0
2024020002,BUF,NJD,Neutral,0,300,0,0,5,2,0,2
2024020002,NJD,BUF,Neutral,0,300,0,2,1,1,0,0
2024020002,NJD,BUF,Neutral,0,120,0,4,0,1,0,0
2024020002,NJD,BUF,Neutral,0,120,0,2,1,1,0,1
2024020002,NJD,BUF,Trailing,-1,80,1,1,0,0,0,0
2024020002,BUF,NJD,Neutral,0,120,0,0,0,0,0,2
2024020002,NJD,BUF,Neutral,0,120,0,1,0,3,0,0
2024020003,SEA,STL,Protecting,2,120,0,0,0,1,0,3
2024020003,STL,SEA,Chasing,-2,120,0,3,1,0,0,0
2024020003,SEA,STL,Protecting,2,300,0,2,1,1,1,7
2024020003,STL,SEA,Chasing,-2,281,1,6,2,0,0,2
2024020003,STL,SEA,Chasing,-2,22,1,0,0,0,0,0
2024020003,SEA,STL,Protecting,2,120,0,0,0,0,2,1
2024020003,STL,SEA,Chasing,-2,22,1,0,0,0,0,0
2024020003,STL,SEA,Leading,1,120,0,1,1,1,0,0
2024020003,SEA,STL,Trailing,-1,120,0,2,2,0,0,0
2024020004,BOS,FLA,Neutral,0,300,0,0,1,0,2,5
2024020004,FLA,BOS,Neutral,0,32,1,1,0,0,0,0
2024020004,FLA,BOS,Protecting,2,120,0,1,0,2,0,0
2024020004,FLA,BOS,Protecting,2,120,0,0,1,0,1,1
2024020004,BOS,FLA,Trailing,-1,120,0,6,0,0,1,0
2024020004,FLA,BOS,Protecting,3,120,0,0,1,1,0,0
2024020004,FLA,BOS,Protecting,3,120,0,1,0,2,0,0
2024020004,BOS,FLA,Chasing,-3,120,0,0,1,0,0,1
2024020004,BOS,FLA,Chasing,-4,120,0,2,1,1,1,0
2024020004,FLA,BOS,Protecting,4,1,1,0,0,0,0,0
2024020004,BOS,FLA,Chasing,-4,120,0,2,1,1,1,0
2024020004,FLA,BOS,Protecting,4,120,0,3,1,0,0,0
2024020004,FLA,BOS,Protecting,4,120,0,1,1,3,0,0
2024020004,BOS,FLA,Chasing,-3,72,1,0,0,0,0,0
2024020005,UTA,CHI,Protecting,2,120,0,2,0,1,0,0
2024020005,CHI,UTA,Chasing,-3,120,0,0,0,2,0,0
2024020005,CHI,UTA,Chasing,-2,120,0,0,0,0,0,0
2024020005,CHI,UTA,Chasing,-2,300,0,2,1,0,0,0
2024020005,UTA,CHI,Protecting,2,300,0,0,3,2,0,2
2024020005,CHI,UTA,Chasing,-2,120,0,2,1,0,0,0
2024020005,UTA,CHI,Protecting,2,1,1,0,0,0,0,0
2024020006,MTL,TOR,Neutral,0,120,0,3,0,1,0,0
2024020006,TOR,MTL,Neutral,0,120,0,3,0,2,0,0
2024020006,MTL,TOR,Neutral,0,39,1,1,1,1,0,0
2024020006,TOR,MTL,Trailing,-1,120,0,2,0,0,0,0
2024020006,TOR,MTL,Trailing,-1,120,0,0,1,2,0,0
2024020006,MTL,TOR,Leading,1,120,0,1,0,1,0,0
2024020006,MTL,TOR,Leading,1,120,0,1,0,1,0,1
2024020006,MTL,TOR,Leading,1,120,0,2,1,1,0,0
2024020006,TOR,MTL,Trailing,-1,120,0,0,0,2,0,1
2024020007,NYR,PIT,Protecting,3,120,0,1,1,1,0,0
2024020007,PIT,NYR,Chasing,-3,120,0,2,0,1,0,0
2024020007,PIT,NYR,Chasing,-4,120,0,0,3,0,0,2
2024020007,PIT,NYR,Chasing,-4,120,0,0,0,0,0,2
2024020007,NYR,PIT,Protecting,4,120,0,2,2,2,0,0
2024020007,NYR,PIT,Protecting,4,120,0,2,2,2,0,0
2024020007,PIT,NYR,Chasing,-4,120,0,1,0,1,1,0
2024020008,WPG,EDM,Protecting,4,29,1,0,0,0,0,0
2024020008,EDM,WPG,Chasing,-5,120,0,1,2,2,0,0
2024020008,WPG,EDM,Protecting,5,120,0,0,0,0,0,2
2024020008,WPG,EDM,Protecting,5,35,1,0,0,0,0,0
2024020009,CGY,VAN,Neutral,0,120,0,0,0,1,0,0
2024020009,VAN,CGY,Neutral,0,119,1,2,0,1,0,0
2024020009,VAN,CGY,Neutral,0,119,1,2,0,1,0,0
2024020009,CGY,VAN,Neutral,0,120,0,0,0,0,1,2
